armed forces,emūqum,"Part of Speech: noun
Gender: masculine
Note: dual emūqān; plural masculine emūqū; plural feminine emūqātum
Hebrew Cognate: עָמוֹק (deep, strong)
Additional Meanings: value, strength, power, force","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
value,emūqum,"Part of Speech: noun
Gender: masculine
Note: dual emūqān; plural masculine emūqū; plural feminine emūqātum
Hebrew Cognate: עָמוֹק (deep, strong)
Additional Meanings: armed forces, strength, power, force","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
eye,īnum,"Part of Speech: noun
Gender: feminine
Hebrew Cognate: עַיִן (eye, spring)
Additional Meanings: spring","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
spring,īnum,"Part of Speech: noun
Gender: feminine
Hebrew Cognate: עַיִן (eye, spring)
Additional Meanings: eye","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"base, foundation, bottom",išdum,"Part of Speech: noun
Gender: masculine
Note: dual išdān (often same as singular form); plural masculine išdātum
Hebrew Cognate: יְסוֹד (foundation wall, base)
Additional Meanings: lower extremities, administration, organization (of a government)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
lower extremities,išdum,"Part of Speech: noun
Gender: masculine
Note: dual išdān (often same as singular form); plural masculine išdātum
Hebrew Cognate: יְסוֹד (foundation wall, base)
Additional Meanings: base, foundation, bottom, administration, organization (of a government)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"administration, organization (of a government)",išdum,"Part of Speech: noun
Gender: masculine
Note: dual išdān (often same as singular form); plural masculine išdātum
Hebrew Cognate: יְסוֹד (foundation wall, base)
Additional Meanings: lower extremities, base, foundation, bottom","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
heart,libbum,"Part of Speech: noun
Gender: masculine
Hebrew Cognate: לֵב (לֵבָב) (heart)
Additional Meanings: mind, thought, wish, insider, center, midst","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"mind, thought, wish",libbum,"Part of Speech: noun
Gender: masculine
Hebrew Cognate: לֵב (לֵבָב) (heart)
Additional Meanings: heart, insider, center, midst","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"insider, center, midst",libbum,"Part of Speech: noun
Gender: masculine
Hebrew Cognate: לֵב (לֵבָב) (heart)
Additional Meanings: mind, thought, wish, heart","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
